rank_by_dollar,naics_code,naics_title,psc_code,psc_name,total_usd,n_actions,median_usd,top_winner,top_winner_share,what_was_done,vertical,work_type,equipment_intensity,regime,confidence
14,236220,Commercial and Institutional Building Construction,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,1867729126.73,434,107983.0,"HARPER CONSTRUCTION COMPANY, INC.",0.053,New-build construction of miscellaneous buildings,Construction,construct,high,psc_carries,high
15,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",M181,OPER OF GOVT R&D GOCO FACILITIES,1800439379.16,47,9559851.34,BATTELLE MEMORIAL INSTITUTE,0.298,Contractor operation of government-owned R&D lab facilities,Research & Development,services_labor,medium,redundant,high
16,541990,"All Other Professional, Scientific, and Technical Services",R499,SUPPORT- PROFESSIONAL: OTHER,1682822762.34,613,200000.0,BOOZ ALLEN HAMILTON INC,0.095,Professional/scientific firms supplying other professional services,Professional & Management Services,services_labor,low,both_blank,medium
17,324110,Petroleum Refineries,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1433412065.25,50197,853.39,SIGNATURE FLIGHT SUPPORT LLC,0.379,Petroleum jet fuel/gasoline supplied at flightline volume,Energy & Utilities,distribute_resell,low,redundant,high
18,339999,All Other Miscellaneous Manufacturing,4220,MARINE LIFESAVING AND DIVING EQUIPMENT,1428575669.53,4433,97523.49,"ATLANTIC DIVING SUPPLY, INC.",0.606,Marine lifesaving/diving equipment resold by ADS distributor,Wholesale & Supply,distribute_resell,medium,psc_carries,high
19,511210,SOFTWARE PUBLISHERS,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),1413677247.76,1075,95040.0,CARAHSOFT TECHNOLOGY CORP,0.645,Perpetual-license business application software via reseller,Information Technology & Software,distribute_resell,low,redundant,high
20,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,4220,MARINE LIFESAVING AND DIVING EQUIPMENT,1409385721.44,582,273906.56,"ATLANTIC DIVING SUPPLY, INC.",0.672,Marine lifesaving/diving equipment wholesale distribution,Wholesale & Supply,distribute_resell,medium,redundant,high
21,541519,Other Computer Related Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),1397204345.44,860,303610.96,THE MIL CORPORATION,0.138,Business application development support labor,Information Technology & Software,services_labor,low,psc_carries,high
22,522390,Other Activities Related to Credit Intermediation,R710,SUPPORT- MANAGEMENT: FINANCIAL,1386394349.96,128,259480.07,EDFINANCIAL SERVICES LLC,0.383,Student-loan/credit financial servicing,Financial & Insurance,services_labor,low,redundant,high
23,541512,Computer Systems Design Services,R499,SUPPORT- PROFESSIONAL: OTHER,1379317115.54,289,836985.36,ACCENTURE FEDERAL SERVICES LLC,0.163,IT systems-design firms supplying other professional services,Information Technology & Software,services_labor,low,naics_carries,medium
24,541611,Administrative Management and General Management Consulting Services,R499,SUPPORT- PROFESSIONAL: OTHER,1343606109.64,1175,217818.4,"LDSS, INC.",0.082,Management consulting supplying other professional services,Professional & Management Services,services_labor,low,naics_carries,high
25,541511,Custom Computer Programming Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),1311222956.1,580,621673.9,BOOZ ALLEN HAMILTON INC,0.088,Custom software programming/application development labor,Information Technology & Software,services_labor,low,redundant,high
26,481212,Nonscheduled Chartered Freight Air Transportation,V126,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,1257814887.79,39,490974.0,NORTHROP GRUMMAN SYSTEMS CORPORATION,0.256,Space launch/transportation services by aerospace prime,Aerospace & Defense,services_labor,high,emergent,high
27,511210,SOFTWARE PUBLISHERS,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,1170802836.2,536,110556.01,CARAHSOFT TECHNOLOGY CORP,0.491,Business application SaaS/subscription software via reseller,Information Technology & Software,distribute_resell,low,redundant,high
28,336611,Ship Building and Repairing,1925,SPECIAL SERVICE VESSELS,1126467561.32,3,341610683.0,"TOTE SERVICES, LLC",0.333,New-build special-service vessel construction (tugs/tenders),Aerospace & Defense,manufacture,high,emergent,high
29,541990,"All Other Professional, Scientific, and Technical Services",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,1045662257.39,173,514331.2,"CACI, INC. - FEDERAL",0.133,Technical-services firms providing systems engineering support,Engineering & Architecture,services_labor,low,psc_carries,medium
30,336411,Aircraft Manufacturing,1510,"AIRCRAFT, FIXED WING",1037845016.12,45,5921775.44,THE BOEING COMPANY,0.378,New fixed-wing aircraft manufacturing by airframe prime,Aerospace & Defense,manufacture,high,redundant,high
31,336414,Guided Missile and Space Vehicle Manufacturing,1420,GUIDED MISSILE COMPONENTS,1036381156.23,7,11633667.34,RAYTHEON COMPANY,0.571,Guided missile component manufacturing by defense prime,Aerospace & Defense,manufacture,high,redundant,high
32,325411,Medicinal and Botanical Manufacturing,6505,DRUGS AND BIOLOGICALS,1026968960.89,12707,1428.48,AMERISOURCEBERGEN DRUG CORP,0.73,Medicinal chemicals/drugs supplied at catalog volume,Healthcare & Life Sciences,distribute_resell,low,redundant,high
33,541519,Other Computer Related Services,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,978200563.29,1391,66232.5,"FCN, INC.",0.07,Application-development SaaS resold by IT integrator,Information Technology & Software,distribute_resell,low,psc_carries,high
34,562910,Remediation Services,F999,OTHER ENVIRONMENTAL SERVICES,929287132.68,149,181443.2,NORTH WIND GENERAL CONTRACTORS LLC,0.121,Environmental remediation/cleanup support services,Environmental & Remediation,services_labor,medium,redundant,high
35,325180,Other Basic Inorganic Chemical Manufacturing,6850,MISCELLANEOUS CHEMICAL SPECIALTIES,900241895.87,4,90160.67,OO CONSULTING LLC,0.75,Specialty inorganic chemicals manufacture/supply,Industrial Manufacturing,manufacture,medium,naics_carries,low
36,561210,Facilities Support Services,M181,OPER OF GOVT R&D GOCO FACILITIES,877875301.15,6,90267393.83,UT-BATTELLE LLC,1.0,Contractor operation of government R&D GOCO facilities,Research & Development,services_labor,medium,psc_carries,high
37,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR12,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; APPLIED RESEARCH",868327492.6,379,266457.89,CALIFORNIA INSTITUTE OF TECHNOLOGY,0.422,Space flight applied research and development,Research & Development,RnD,low,redundant,high
38,561210,Facilities Support Services,M159,OPER OF GOVT OTHER INDUSTRIAL BLDG,860844457.84,2,430422228.92,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,1.0,Contractor operation of government industrial buildings (nuclear site),"Facilities, Maintenance & Janitorial",services_labor,medium,psc_carries,high
39,541512,Computer Systems Design Services,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),821670252.18,183,1085366.0,ACCENTURE FEDERAL SERVICES LLC,0.087,IT management support labor (enterprise architecture),Information Technology & Software,services_labor,low,psc_carries,high
40,236220,Commercial and Institutional Building Construction,Y1DB,CONSTRUCTION OF LABORATORIES AND CLINICS,797407012.52,35,354990.0,"WHITING-TURNER CONTRACTING COMPANY, THE",0.4,New-build construction of laboratories and clinics,Construction,construct,high,psc_carries,high
41,541611,Administrative Management and General Management Consulting Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,792905617.79,968,251885.2,"CREATIVE IT SOLUTIONS, LLC",0.07,Program management/support consulting services,Professional & Management Services,services_labor,low,redundant,high
42,336411,Aircraft Manufacturing,R499,SUPPORT- PROFESSIONAL: OTHER,770126111.92,15,40110941.43,THE BOEING COMPANY,1.0,Aircraft OEM providing professional support services (Boeing),Aerospace & Defense,services_labor,low,naics_carries,medium
43,541519,Other Computer Related Services,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),758818298.23,1840,66797.76,"NEW TECH SOLUTIONS, INC.",0.086,Perpetual-license business application software resold,Information Technology & Software,distribute_resell,low,psc_carries,high
44,336212,Truck Trailer Manufacturing,2320,"TRUCKS AND TRUCK TRACTORS, WHEELED",734548488.22,53,2604509.0,OSHKOSH DEFENSE LLC,0.943,Wheeled tactical trucks/tractors manufactured by defense OEM,Aerospace & Defense,manufacture,high,emergent,high
45,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR11,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",714623136.38,268,355849.97,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,0.571,Space flight basic research,Research & Development,RnD,low,redundant,high
46,237990,Other Heavy and Civil Engineering Construction,Y1KA,CONSTRUCTION OF DAMS,712083567.95,30,412172.27,KIEWIT INFRASTRUCTURE SOUTH CO,0.733,New-build dam construction by heavy-civil contractor,Construction,construct,high,redundant,high
47,561612,Security Guards and Patrol Services,R430,SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,707460422.55,179,489231.8,GARDAWORLD FEDERAL SERVICES LLC,0.184,Physical security and badging professional services,Security & Guard Services,services_labor,low,redundant,high
48,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,691798807.76,193,792090.0,"CEPEDA SYSTEMS & SOFTWARE ANALYSIS, INC.",0.207,R&D firms providing systems engineering/technical support,Engineering & Architecture,services_labor,low,naics_carries,medium
49,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",650993089.23,47652,328.16,"CARDINAL HEALTH 200, LLC",0.638,Medical/surgical instruments/supplies wholesale at catalog volume,Wholesale & Supply,distribute_resell,medium,redundant,high
50,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",1675,SPACE VEHICLE COMPONENTS,649209417.0,23,27000000.0,"AEROJET ROCKETDYNE OF DE, INC",1.0,Space vehicle component development by propulsion prime,Aerospace & Defense,manufacture,high,emergent,high
51,336611,Ship Building and Repairing,1905,COMBAT SHIPS AND LANDING VESSELS,642396033.45,80,959798.5,HUNTINGTON INGALLS INCORPORATED,0.3,New-build combat ship/submarine construction,Aerospace & Defense,manufacture,high,redundant,high
52,541990,"All Other Professional, Scientific, and Technical Services",M181,OPER OF GOVT R&D GOCO FACILITIES,631631509.25,5,64767378.98,"BATTELLE ENERGY ALLIANCE, LLC",1.0,Contractor operation of government R&D GOCO facilities,Research & Development,services_labor,medium,psc_carries,high
53,561210,Facilities Support Services,S216,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,611206559.5,1842,19342.53,RAVEN SERVICES CORP,0.135,Facilities operations support services,"Facilities, Maintenance & Janitorial",services_labor,low,redundant,high
54,561599,All Other Travel Arrangement and Reservation Services,V211,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AIR PASSENGER,598331427.02,61,233878.32,"CORPORATE LODGING CONSULTANTS, INC.",0.951,Air passenger travel/lodging booking services,Transportation & Logistics,services_labor,low,redundant,high
55,541512,Computer Systems Design Services,DG01,IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR),573898384.6,97,1490384.62,"AT&T TECHNICAL SERVICES COMPANY, INC",0.175,IT network support engineering labor,Information Technology & Software,services_labor,low,psc_carries,high
56,488190,Other Support Activities for Air Transportation,J015,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,564401680.86,388,72713.29,NIPPI CORPORATION,0.18,"Aircraft/airframe component maintenance, repair and overhaul",Aerospace & Defense,maintain_repair,medium,redundant,high
57,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",M1HA,OPERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,543895590.6,7,16453467.85,"FERMI FORWARD DISCOVERY GROUP, LLC",0.429,Contractor operation of government R&D GOCO facilities,Research & Development,services_labor,medium,redundant,high
58,236220,Commercial and Institutional Building Construction,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,542794302.31,754,128566.37,NATIVE AMERICAN SERVICES CORP.,0.064,Repair/alteration of miscellaneous buildings,Construction,construct,high,psc_carries,high
59,336111,AUTOMOBILE MANUFACTURING,2310,PASSENGER MOTOR VEHICLES,532727992.0,13664,42598.0,FORD MOTOR CO,0.383,Passenger motor vehicles supplied by automaker,Transportation & Logistics,manufacture,medium,redundant,high
60,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,531600083.1,28,4111592.3,"ROCKWELL COLLINS, INC.",0.286,Navigation-systems OEM providing systems engineering support,Aerospace & Defense,services_labor,low,naics_carries,medium
61,237990,Other Heavy and Civil Engineering Construction,Z2ED,REPAIR OR ALTERATION OF SHIP CONSTRUCTION AND REPAIR FACILITIES,529830532.12,6,75832750.0,"NOVA GROUP, INC.",0.5,Repair/alteration of shipyard construction/repair facilities,Construction,construct,high,emergent,high
62,221122,Electric Power Distribution,S112,UTILITIES- ELECTRIC,528914624.67,832,138410.77,"CONSTELLATION NEWENERGY, INC.",0.236,Electric utility power supply services,Energy & Utilities,services_labor,low,redundant,high
63,481212,Nonscheduled Chartered Freight Air Transportation,AR14,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; R&D ADMINISTRATIVE EXPENSES",514199741.62,40,9010050.0,FIREFLY AEROSPACE INC.,0.675,Space launch R&D support by launch provider,Aerospace & Defense,RnD,high,emergent,high
64,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7G20,IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),502511056.62,33,595437.26,"L3 TECHNOLOGIES, INC.",0.273,Analog voice/comms equipment manufactured by defense electronics OEM,Telecommunications,manufacture,high,redundant,high
65,334210,Telephone Apparatus Manufacturing,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),498722660.62,8,53704701.39,"ROHDE & SCHWARZ USA, INC.",0.375,Digital network communications hardware manufactured by OEM,Telecommunications,manufacture,high,redundant,high
66,236220,Commercial and Institutional Building Construction,Z2AZ,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,475779651.46,132,228962.21,ALEUT CONSTRUCTION LLC,0.061,Repair/alteration of administrative/service buildings,Construction,construct,high,psc_carries,high
67,561210,Facilities Support Services,Z1AA,MAINTENANCE OF OFFICE BUILDINGS,472011667.23,3271,15741.02,"JONES LANG LASALLE AMERICAS, INC.",0.142,Maintenance of office buildings,"Facilities, Maintenance & Janitorial",maintain_repair,medium,psc_carries,high
68,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR22,R&D-SPACE SCIENCE & APPL-A RES/EXPL,467066790.49,171,450186.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,1.0,Space science applied research/exploratory development,Research & Development,RnD,low,redundant,high
69,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",B541,SPECIAL STUDIES/ANALYSIS- DEFENSE,466683658.92,31,14727339.0,PARSONS GOVERNMENT SERVICES INC.,0.871,Defense special studies and analysis,Research & Development,RnD,low,emergent,high
70,481219,Other Nonscheduled Air Transportation,1510,"AIRCRAFT, FIXED WING",463638746.0,4,76000000.0,DAEDALUS AVIATION CORPORATION,1.0,Fixed-wing aircraft procurement via air-transport operator,Aerospace & Defense,manufacture,high,emergent,medium
71,562910,Remediation Services,R499,SUPPORT- PROFESSIONAL: OTHER,460799923.2,70,395421.63,CAPE ENVIRONMENTAL MANAGEMENT INC,0.229,Remediation firms providing other professional services,Environmental & Remediation,services_labor,low,naics_carries,medium
72,237990,Other Heavy and Civil Engineering Construction,Z2KA,REPAIR OR ALTERATION OF DAMS,460756338.33,45,369000.0,GE RENEWABLES US LLC,0.267,Repair/alteration of dams by heavy-civil contractor,Construction,construct,high,redundant,high
73,541330,Engineering Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,457875659.29,337,346000.0,"OASIS SYSTEMS, LLC",0.148,Engineering firms providing program management support,Engineering & Architecture,services_labor,low,naics_carries,medium
74,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",AZ11,R&D-OTHER R & D-B RES,455662251.2,6,74992026.16,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",1.0,Other basic research at national laboratory,Research & Development,RnD,low,redundant,high
75,332993,Ammunition (except Small Arms) Manufacturing,1320,"AMMUNITION, OVER 125MM",454165275.42,4,121178198.43,"GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS, INC.",0.5,Large-caliber ammunition manufacturing by ordnance prime,Aerospace & Defense,manufacture,high,redundant,high
76,488999,All Other Support Activities for Transportation,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,443755456.23,44,3966317.23,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",0.75,Logistics support services by transportation contractor,Transportation & Logistics,services_labor,low,psc_carries,medium
77,236220,Commercial and Institutional Building Construction,Z2AA,REPAIR OR ALTERATION OF OFFICE BUILDINGS,434180386.27,993,71978.38,ARTISAN CONSTRUCTION ENTERPRISES INC,0.028,Repair/alteration of office buildings,Construction,construct,high,psc_carries,high
78,541519,Other Computer Related Services,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),431792159.59,218,548986.24,CGI FEDERAL INC.,0.216,IT management support labor (enterprise architecture),Information Technology & Software,services_labor,low,psc_carries,high
79,541110,Offices of Lawyers,R418,SUPPORT- PROFESSIONAL: LEGAL,430700747.41,172,79735.0,"LAW OFFICES OF ROBERT A. SCHUERGER CO., LPA",0.081,Legal/attorney professional services by law firms,Professional & Management Services,services_labor,low,redundant,high
80,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,412241589.86,244,500000.0,BOOZ ALLEN HAMILTON INC,0.254,Defense experimental development R&D,Research & Development,RnD,low,redundant,high
81,561720,Janitorial Services,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,408685726.7,1592,34387.65,RELIANCE CONTRACTORS INC,0.027,Custodial/janitorial cleaning services,"Facilities, Maintenance & Janitorial",services_labor,low,redundant,high
82,481212,Nonscheduled Chartered Freight Air Transportation,F003,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,406612443.41,340,470359.88,HELICOPTER EXPRESS LLC,0.1,Aerial wildfire suppression by air charter operator,Transportation & Logistics,services_labor,high,emergent,high
83,236220,Commercial and Institutional Building Construction,Z2DA,REPAIR OR ALTERATION OF HOSPITALS AND INFIRMARIES,406374949.49,269,186996.25,ONSITE CONSTRUCTION GROUP LLC,0.063,Repair/alteration of hospitals and infirmaries,Construction,construct,high,psc_carries,high
84,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",M1HA,OPERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,402161538.72,6,8819625.17,BROOKHAVEN SCIENCE ASSOCIATES LLC,1.0,Contractor operation of government R&D GOCO facilities,Research & Development,services_labor,medium,redundant,high
85,562211,Hazardous Waste Treatment and Disposal,M1PD,OPERATION OF WASTE TREATMENT AND STORAGE FACILITIES,401720169.92,10,410898.96,"APTIM FEDERAL SERVICES, LLC",0.7,Operation of hazardous waste treatment/storage facilities,Environmental & Remediation,services_labor,medium,redundant,high
86,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",392451945.8,25,182733.51,ANALOGIC CORP,0.44,Alarm/signal/security detection systems manufacturing,Electronics & Instruments,manufacture,high,naics_carries,medium
87,336611,Ship Building and Repairing,J999,NON-NUCLEAR SHIP REPAIR (WEST),389814644.17,481,34786.02,"GHOSTROCK SYSTEMS DEVELOPMENT, LLC",0.254,Non-nuclear ship repair/overhaul (West coast),Aerospace & Defense,maintain_repair,high,emergent,high
88,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC11,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; BASIC RESEARCH,381258450.19,163,140000.0,BOOZ ALLEN HAMILTON INC,0.245,Defense basic research,Research & Development,RnD,low,redundant,high
89,324110,Petroleum Refineries,9140,FUEL OILS,375305971.84,1821,18108.75,"PINNACLE PETROLEUM, INC.",0.237,Diesel/fuel oils supplied by petroleum distributor,Energy & Utilities,distribute_resell,low,redundant,high
90,624190,Other Individual and Family Services,G099,SOCIAL- OTHER,374195207.36,21,3460660.0,"LIFECARE, INC",0.381,Individual/family social assistance services,Government & Public Administration,services_labor,low,naics_carries,medium
91,611519,Other Technical and Trade Schools,U006,EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,368442026.4,281,439854.34,MANAGEMENT & TRAINING CORPORATION,0.214,Vocational/technical job training programs,Education & Training,services_labor,low,redundant,high
92,234930,INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION,Y181,CONSTRUCT/R&D - GOCO FACILITIES,365000000.0,3,120000000.0,"BECHTEL NATIONAL, INC.",1.0,Construction of government R&D GOCO facilities,Construction,construct,high,redundant,high
93,541511,Custom Computer Programming Services,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,360285445.66,228,231861.07,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",0.132,Application-development SaaS via software integrator,Information Technology & Software,distribute_resell,low,psc_carries,medium
94,221310,Water Supply and Irrigation Systems,S114,UTILITIES- WATER,358130726.08,365,276121.69,"AMERICAN WATER OPERATIONS AND MAINTENANCE, LLC",0.252,Water utility supply/treatment services,Energy & Utilities,services_labor,low,redundant,high
95,237990,Other Heavy and Civil Engineering Construction,Y1PZ,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,356560627.18,66,267029.92,"J. F. BRENNAN COMPANY, INC.",0.076,New-build non-building facility heavy-civil construction,Construction,construct,high,naics_carries,medium
96,236220,Commercial and Institutional Building Construction,Y1AZ,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,350881731.58,207,76763.0,"BALFOUR BEATTY CONSTRUCTION, LLC",0.246,New-build construction of administrative/service buildings,Construction,construct,high,psc_carries,high
97,483111,Deep Sea Freight Transportation,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,350582119.56,488,300000.0,"TOTE SERVICES, LLC",0.254,Sealift/marine logistics operation of vessels/facilities,Transportation & Logistics,services_labor,medium,emergent,medium
98,622110,General Medical and Surgical Hospitals,Q201,MEDICAL- MANAGED HEALTHCARE,340805525.4,1848,44778.82,NAPHCARE LLC,0.287,Hospital-based comprehensive managed healthcare services,Healthcare & Life Sciences,services_labor,low,redundant,high
